actual_values,predicted_values,difference
218000.0,189293.44,-28706.5625
355000.0,385176.25,30176.25
185000.0,331382.6,146382.59375
592900.0,397345.53,-195554.46875
799000.0,665698.06,-133301.9375
239000.0,262639.0,23639.0
698500.0,568421.9,-130078.125
313314.0,358017.3,44703.3125
225000.0,270573.3,45573.3125
225000.0,323707.66,98707.65625
289000.0,228300.83,-60699.171875
394684.0,414119.5,19435.5
499000.0,540244.44,41244.4375
325000.0,321657.25,-3342.75
150000.0,201573.05,51573.046875
215000.0,274026.22,59026.21875
849000.0,1044695.44,195695.4375
449000.0,406888.94,-42111.0625
529000.0,443719.9,-85280.09375
195000.0,156035.95,-38964.046875
199000.0,214508.33,15508.328125
335527.0,438733.4,103206.40625
410000.0,364439.0,-45561.0
630838.0,510185.97,-120652.03125
175000.0,254071.11,79071.109375
515000.0,445828.44,-69171.5625
384000.0,382835.28,-1164.71875
496444.0,466860.8,-29583.1875
1250000.0,1122723.0,-127277.0
395000.0,476705.78,81705.78125
200000.0,204514.94,4514.9375
285000.0,254385.83,-30614.171875
199000.0,224926.94,25926.9375
240000.0,248266.86,8266.859375
430300.0,384521.8,-45778.1875
219000.0,233661.14,14661.140625
389000.0,329759.72,-59240.28125
380000.0,366822.88,-13177.125
595000.0,551199.2,-43800.8125
489000.0,435924.34,-53075.65625
336700.0,369698.56,32998.5625
235000.0,324320.53,89320.53125
195000.0,282152.56,87152.5625
269000.0,291880.53,22880.53125
239000.0,244384.84,5384.84375
650000.0,516062.72,-133937.28125
392850.0,325593.88,-67256.125
255000.0,231382.5,-23617.5
375000.0,401828.2,26828.1875
340000.0,333338.44,-6661.5625
355000.0,380417.9,25417.90625
1250000.0,3178492.0,1928492.0
149000.0,179416.88,30416.875
189000.0,174595.25,-14404.75
600000.0,455826.34,-144173.65625
282000.0,259725.73,-22274.265625
139000.0,183712.3,44712.296875
3865000.0,3959441.2,94441.25
232500.0,237768.3,5268.296875
885000.0,518503.9,-366496.09375
253000.0,203585.72,-49414.28125
390000.0,327189.03,-62810.96875
255000.0,292563.72,37563.71875
200000.0,749041.94,549041.9375
252500.0,241349.27,-11150.734375
93000.0,115080.29,22080.2890625
165000.0,150496.08,-14503.921875
320000.0,321680.16,1680.15625
310000.0,243468.73,-66531.265625
270000.0,246313.11,-23686.890625
475000.0,595770.0,120770.0
165000.0,181688.2,16688.203125
315000.0,263664.94,-51335.0625
470000.0,470061.34,61.34375
1095000.0,825837.5,-269162.5
329000.0,339405.84,10405.84375
290000.0,403727.22,113727.21875
520000.0,284446.28,-235553.71875
299000.0,225972.9,-73027.09375
485000.0,531624.5,46624.5
199000.0,194378.47,-4621.53125
349000.0,348818.6,-181.40625
1065000.0,993997.75,-71002.25
240000.0,300990.75,60990.75
204000.0,269337.8,65337.8125
165000.0,215275.56,50275.5625
97500.0,192496.64,94996.640625
271137.0,252913.33,-18223.671875
300455.0,268591.8,-31863.1875
895000.0,733027.06,-161972.9375
325000.0,291867.25,-33132.75
199000.0,138212.0,-60788.0
300000.0,257521.3,-42478.703125
345000.0,342208.94,-2791.0625
238000.0,286992.4,48992.40625
439000.0,409096.8,-29903.1875
675257.0,613947.6,-61309.375
271000.0,284892.3,13892.3125
229000.0,256089.28,27089.28125
350000.0,326253.25,-23746.75
175000.0,202872.36,27872.359375
195321.0,191397.14,-3923.859375
198000.0,154514.8,-43485.203125
399000.0,392765.75,-6234.25
845000.0,793855.75,-51144.25
265000.0,262700.84,-2299.15625
185000.0,287039.56,102039.5625
695000.0,580283.9,-114716.125
260000.0,280379.66,20379.65625
418000.0,392069.28,-25930.71875
335000.0,307184.62,-27815.375
209605.0,206771.9,-2833.09375
224000.0,293992.34,69992.34375
665000.0,686138.1,21138.125
195000.0,278737.75,83737.75
318000.0,406947.38,88947.375
364500.0,409146.06,44646.0625
615000.0,667162.2,52162.1875
300000.0,327765.1,27765.09375
301000.0,349574.44,48574.4375
185000.0,266713.03,81713.03125
304000.0,331721.12,27721.125
110000.0,132073.78,22073.78125
475000.0,506493.62,31493.625
615000.0,642867.8,27867.8125
289000.0,302314.12,13314.125
285000.0,375132.88,90132.875
380000.0,351348.0,-28652.0
315000.0,326502.16,11502.15625
230000.0,265046.4,35046.40625
365000.0,374902.03,9902.03125
225000.0,275933.72,50933.71875
255000.0,297167.8,42167.8125
195000.0,257647.58,62647.578125
160000.0,277493.47,117493.46875
349000.0,337430.62,-11569.375
285000.0,406788.62,121788.625
395000.0,412080.0,17080.0
625000.0,921178.1,296178.125
285000.0,322069.2,37069.1875
287500.0,312762.1,25262.09375
875000.0,1073164.4,198164.375
320000.0,314683.12,-5316.875
550000.0,533410.7,-16589.3125
219700.0,268711.4,49011.40625
219000.0,253975.89,34975.890625
193000.0,239843.77,46843.765625
418919.0,403185.97,-15733.03125
475000.0,516517.78,41517.78125
825000.0,788887.2,-36112.8125
145000.0,219649.52,74649.515625
650000.0,876632.06,226632.0625
521271.0,512294.56,-8976.4375
332500.0,480921.56,148421.5625
318266.0,346312.3,28046.3125
215000.0,233662.84,18662.84375
135000.0,148255.05,13255.046875
545000.0,527635.25,-17364.75
439000.0,397427.28,-41572.71875
395000.0,366799.4,-28200.59375
297000.0,307071.38,10071.375
299000.0,351477.0,52477.0
279000.0,438566.94,159566.9375
229900.0,223504.38,-6395.625
214793.0,227892.42,13099.421875
307098.0,309537.12,2439.125
269000.0,293359.9,24359.90625
460000.0,492946.1,32946.09375
295000.0,275267.2,-19732.8125
282000.0,254722.34,-27277.65625
264600.0,272038.47,7438.46875
295000.0,363742.4,68742.40625
242200.0,247346.19,5146.1875
236000.0,265160.8,29160.8125
308500.0,332365.25,23865.25
379000.0,318213.6,-60786.40625
220000.0,226120.05,6120.046875
